part_id,show,part_number,part_brand,subcategory,part_image,volume,inlet_diameter,inlet_connection_type,outlet_diameter,outlet_connection_type,direction_of_flow,desiccant_type,number_of_cores,options,rated_capacity,ingress_protection,certifications,nema_rating,note
1F64FB45-8DF3-49A0-8777-684EC2B58052,,KH43LG075,CARRIER,,,,,,,,,,,,,,,,
1F74D535-4C43-425F-AD3E-18B426311CC8,,KH41EZ050,CARRIER,,,,,,,,,,,,,,,,
1F808AF3-7BDF-43B0-B735-105FF237FA43,,DHY00180,TRANE,,,,,,,,,,,,,,,,
1F84270A-2C10-47E4-A3D7-D96CAACB7AF8,,DHY00044,TRANE,,,,,,,,,,,,,,,,
1F868BAB-BE0F-499C-B127-76157A031526,,0073991,HEIL,,,,,,,,,,,,,,,,
2045D3AC-9B03-4849-9DCB-290D1F6171EB,,66200C,ELKAY,,,,,,,,,,,,,,,,
206239BE-B3FB-4217-82CB-ECFD1B274CBD,,88K44,AIREASE,,,,,,,,,,,,,,,,
20889805-50EB-4E9B-88CC-0DBB55FB7D7C,,5200-36,WEATHERKING,,,,,,,,,,,,,,,,
20D69786-41C7-489B-9248-D6ACE7AF39CE,,KH680010,CARRIER,,,,,,,,,,,,,,,,
20FE49D5-E32C-4FB7-B910-01A0410A27A5,,00PPG000452501,CARRIER,,,,,,,,,,,,,,,,
211374D4-C660-4133-9DD5-452B68022D6D,,83-22755-14,MCQUAY,,,,,,,,,,,,,,,,
213905CA-FFA2-4440-BFC4-601565DAFC4D,,9311440017,FRIEDRICH,,,,,,,,,,,,,,,,
214C6408-B176-46D8-A2FD-BEDFDA06124C,,70190035R,SEA BREEZE,,,,,,,,,,,,,,,,
215EB7A9-C671-4E95-99A1-2128672EBC57,,KH43LG095,CARRIER,,,,,,,,,,,,,,,,
21744074-A237-485C-B32B-2B3D874B89F3,,50ZH400643,CARRIER,,,,,,,,,,,,,,,,
21AB8A62-1B40-4D53-ACE5-EEACC2FC426F,,DHY00154,TRANE,,,,,,,,,,,,,,,,
21C52123-6681-4A05-A922-42E5D1AB553F,,KH43LG074,BRYANT,,,,,,,,,,,,,,,,
2218B757-9FD0-4B9B-883A-D9691D5EAE65,,39293B004,ARMSTRONG,,,,,,,,,,,,,,,,
221C28A4-6C5C-4636-B543-699F360AE9C9,,P-8-1386,LENNOX,,,,,,,,,,,,,,,,
2225FA61-71FC-4063-BCCF-D62A6B9E94D3,,S1-02635463005,YORK UPG,,,,,,,,,,,,,,,,
2243F5D3-4029-42C8-9F1D-E79DC4DFE213,,B1219220,AMANA,LIQUID LINE FILTER DRIER ,,,,,,,,,,,,,,,
224EED25-EAA7-41A9-AD0A-186489155216,,DHY00213,TRANE,,,,,,,,,,,,,,,,
224F7392-DC9A-4D96-98CF-778DE9E2E345,,62A52,AIREASE,,,,,,,,,,,,,,,,
226EAFC6-C843-4C6B-82DD-2D6D7DD3D1FC,,322937-311,PAYNE,,,,,,,,,,,,,,,,
2273DEF6-694C-4737-90AB-3D37A8AA986B,,029913J,DAIKIN,,,,,,,,,,,,,,,,
2282338F-F61A-4437-9794-92D1405933EE,,20556,ROSS-TEMP,,,,,,,,,,,,,,,,
22826A5A-2183-42C9-B349-F22DF03E1CE1,,S1-1458-0011,COLEMAN,,,,,,,,,,,,,,,,
22957656-9619-4BDD-A46A-F8F77B1ED340,,83-25152-03,RHEEM,,,,,,,,,,,,,,,,
22B3A2B7-24DD-4D45-95F0-1D031513427C,,WW22X7,TRANE,,,,,,,,,,,,,,,,
22BBBA51-1EEB-42A3-BA01-05A799B20E19,,83-22755-05,RHEEM,,,,,,,,,,,,,,,,
22F24E93-BDFF-4D6E-BFBB-4681AC6330FA,,83-25151-33,MCQUAY,,,,,,,,,,,,,,,,
22F6BD74-83E6-43A1-9BCB-BA8CBFCD722A,,1915-670-15,MARTA AMERICAN,,,,,,,,,,,,,,,,
233F6B01-F1A1-478E-98F4-3779CE1B3176,,00PPG000462103,CARRIER,,,,,,,,,,,,,,,,
23BD413A-EEB7-4CB4-BDF5-1E8F0C5B0063,,66856D1,CARRIER,,,,,,,,,,,,,,,,
23BF1155-1446-4C18-ABAA-55FB5875637E,,2320298,ARCOAIRE,,,,,,,,,,,,,,,,
23EAAB49-5503-45A8-BB3C-DBAAF191DD7D,,P402-8305,CARRIER,,,,,,,,,,,,,,,,
24902AE3-5AA8-4E59-89AE-CEF969D83DE8,,S1-52634506000,YORK UPG,,,,,,,,,,,,,,,,
24C44ADD-736A-4F6A-89B1-DBB0AF38664E,,88K45,AIREASE,,,,,,,,,,,,,,,,
24EEDDAA-A092-40D9-90A1-8D1A219BD093,,FLR01068,TRANE,,,,,,,,,,,,,,,,
2549E00E-0479-4C54-8803-A7E3028A0BEF,,SW822B3013,CARRIER,,,,,,,,,,,,,,,,
2587F8A8-C915-4566-883F-E1B49C3D6BCA,,00PPG000466202,CARRIER,,,,,,,,,,,,,,,,
2598D061-58AE-44ED-9EF7-053EADA016AB,,S1-02919007000,YORK UPG,,,,,,,,,,,,,,,,
260F94ED-FC01-4FAD-AE98-7BB86E4F5C33,,90C02-1341,CARRIER,,,,,,,,,,,,,,,,
