part_id,show,part_number,part_brand,subcategory,part_image,type_of_gas,stages,capacity,outlet_orientation,reducer_bushing,inlet_size,outlet_size_type,pilot_outlet_size,factory_settings,max_inlet_pressure,min_adjustable_setting,max_adjustable_setting,terminal_type,electrical_rating,side_outlet_size_type,gas_cock_dial_markings,ambient_temperature,amp_rating,capillary_length,standard_dial,remote_dial,temperature_range,height,length,width,ingress_protection,certifications,nema_rating
0E9CE09B-6EDA-4244-860E-D082F47EAC46,,VAL03820,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0EAEE25F-E330-42FB-9FC9-287913CAC0F5,,VAL01109,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0EE2CBEC-DFCA-4D32-B430-F814B419DAC2,,AS-60906-03,RHEEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0EEA0CC4-BCD1-408F-8320-FAD226E92494,,1011827,HEIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0F044C03-4AB0-4DC6-B191-4D328EB322C7,,5651-5564,RHEEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0F0B4D1D-BB4F-4D3E-AA1E-C2460328930B,,VAL03821,AMERICAN STANDARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0F19E388-6E9A-4D11-84A4-B9E62B69926A,,R2351,EMPIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0F2626CC-C1B8-4523-8C5A-B5B852417FD1,,6026819,DAIKIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0F2EAA2A-0C4D-4B6C-B041-0EC71C8ADC90,,VAL1040,LOCHINVAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0F61E4A5-DFF7-4447-ABC9-A9193FDD2BA1,,6019662,DAIKIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0F65ACAB-DD99-4430-BB71-6C1B92BEED8A,,B1282612,NORDYNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0F965C9E-6B18-4686-AA36-059C9C8EEC3B,,E12A58661,MITSUBISHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0FBF4855-17E6-4277-9680-DA9E2F56B96D,,VAL00508,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0FC7326F-44A7-4669-9A8F-DC3406462509,,VAL02109,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0FEDC76A-591D-49D7-91C8-67D989B712A9,,511-044-274,WEIL-MCLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0FF187FE-4817-4DBB-AF34-A3904A9057E3,,T6-780,LENNOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005E28E-A07D-4088-B9EA-401D3582FBB9,,EF32CW192,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10264E0B-8B0E-4C27-9DF5-B02D9851E539,,932251,EMPIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057D2D6-FE35-444A-8BF2-FFA41FA66F4E,,VG01101,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10678CB3-C6D9-4D63-81EB-3A633C0D99BE,,27H01,LENNOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106EFEB3-D9DF-4DCC-AE61-D96A69BE903E,,VAL05783,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10C636E3-43FC-4BEB-AD20-6F034E51288C,,60-523,HEAT & GLO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10C71AA3-EA7A-43F2-AFE3-17EC80A34237,,5H79751,MODINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10D2DA51-F0A4-49CA-B15E-F815A7AEAE05,,VAL04329,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10DEFD80-5AD2-4B70-8227-4D13CE7BD7EC,,207118-02,ARCOAIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11220CDD-5426-492D-B9BC-9C030F0900BF,,B1812371,DUCANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1137ECB5-15E3-406F-949F-3109060C1854,,S1-2736-3261,COLEMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117415F1-317E-4696-B4F4-60EDEBA4BBA2,,60-20936-02,RHEEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1180C1BD-E7A2-45BF-9729-3256ABB3D987,,VAL04564,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118382D1-1672-4FA6-A64B-E0E1FC68DACB,,34614A001,ARMSTRONG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11922271-6DE3-41B6-B914-ED520D528508,,1170909,HEIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
