part_id,show,part_number,part_brand,subcategory,part_image,media_type,merv_rating,nominal_width,nominal_length,nominal_depth,actual_width,actual_length,actual_depth,efficiency,max_operating_temp
0C1D9007-3FF6-4802-A3C4-DAD2A073300A,,R0139403,AMANA,AIR FILTER,,,,,,,,,,,
0C2914BB-BD51-4161-8680-AD68EDBFEE59,,5303303242,FRIGIDAIRE,,,,,,,,,,,,
0C45E578-60BA-4CC8-B82A-7D473A04ED77,,FLR01122,TRANE,,,,,,,,,,,,
0C551A95-BE8A-41F2-B5C3-07ADAC7FD7A8,,KH01FU460,CARRIER,,,,,,,,,,,,
0C5C68C0-D5F0-4409-B7A9-3B4E09FF2A0A,,R01E01500,MITSUBISHI,,,,,,,,,,,,
0C5ED4F6-E0F1-4157-A93B-350B6D1A6479,,201133190183,GOODMAN,AIR FILTER,,,,,,,,,,,
0C7B202B-F547-457D-8CD1-4D459DC5692F,,22-4071,YORK UPG,,,,,,,,,,,,
0C8C5C91-E9C7-4BE2-BE86-9B876DB569A7,,S1-02632670005,YORK UPG,,,,,,,,,,,,
0CAEE1A5-67D1-4753-9AD2-72D2BACDF47E,,FLR00161,TRANE,,,,,,,,,,,,
0CB7B9DD-536C-4F24-811E-503B6025C0AA,,GAPCCCAR1625-A05,CARRIER,,,,,,,,,,,,
0CB8379E-E489-4B3A-82E8-DA00F2E914F7,,42KC8G5013,CARRIER,,,,,,,,,,,,
0CC8BD1F-58B4-4B12-A3CD-2B9FE6084DA2,,16X20X1,YORK UPG,,,,,,,,,,,,
0CE556F1-54BE-47C5-8E55-6B24D63107B5,,1001218,SEARS,,,,,,,,,,,,
0D036252-6FA3-4FE7-ACF1-7C65DA25652C,,OL2180024,NORDYNE,,,,,,,,,,,,
0D200858-3EBF-4A44-9CCF-F2FFA723E84E,,54-40417-04,RHEEM,,,,,,,,,,,,
0D431261-15BA-4AB0-8FF4-21F35E76C7C3,,P-8-11074,LENNOX,,,,,,,,,,,,
0D4E0820-6B3B-48BC-8706-8EDE84E0B5E9,,95E54,LENNOX,,,,,,,,,,,,
0D524F12-9A1D-4AD0-9F52-DAE3F8434E07,,314871-202,CARRIER,,,,,,,,,,,,
0D57298D-69E0-4891-A9B0-E8BC25EA1C3B,,KH01BZ042,CARRIER,,,,,,,,,,,,
0D639673-2745-4769-8530-4CB5C20EE441,,11120012,CARRIER,,,,,,,,,,,,
0D73D8D1-2C6B-46B0-8AF3-05A3CF7B10EC,,R1000316,AMANA,AIR FILTER,,,,,,,,,,,
0D8CFAC6-F6DC-4DB6-B791-8669A5C15C05,,64N56,LENNOX,,,,,,,,,,,,
0D9B0357-116C-4351-AE68-3FF690CD52A6,,201121990195,SEA BREEZE,,,,,,,,,,,,
0DA099FB-C1BA-44F6-8CDB-DB92DCDE0052,,FLR00496,TRANE,,,,,,,,,,,,
0DB35771-8419-46C3-A9D3-4E8777093245,,FM410,YORK UPG,,,,,,,,,,,,
0DB76046-1D5D-44B5-AB4B-F3A299823A0D,,S1-02623240002,YORK UPG,,,,,,,,,,,,
0DBC6C58-A580-4D9A-82FB-402FD27FE0F4,,S1-02614543000,YORK UPG,,,,,,,,,,,,
0DC23678-1D1E-4A58-AF76-52C5DD24C4D3,,5230A20004A,HEAT CONTROLLER,,,,,,,,,,,,
0DDF526E-9A05-44F7-BA36-DFB9A2E07C3B,,7003-044,BARD,,,,,,,,,,,,
0DE7654B-0B79-4B45-BDAC-9DF6908CEBE3,,73256,SEARS,,,,,,,,,,,,
0DF33671-2CEF-4F84-9212-BF640998EA82,,G11126004,AIRWELL,,,,,,,,,,,,
0DF62F80-F37D-4B30-BC84-6B8626CCB6B9,,9X14,MAGIC CHEF,,,,,,,,,,,,
0E019766-B054-42ED-AE31-3BBBE2C89736,,E17326100,MITSUBISHI,,,,,,,,,,,,
0E0AD766-B691-40CE-A386-5DA5F53B96CF,,59B503B02,GEOSTAR,,,,,,,,,,,,
0E0ED7D1-AD42-4A4E-91BC-4664FBB3422A,,5304459671,CARRIER,,,,,,,,,,,,
