part_id,show,part_number,part_brand,subcategory,part_image,fused,ingress_protection,certifications,nema_rating
03DC80D5-AD6E-4D1E-AC4F-B0D5EC3D447E,,CPN01071,TRANE,,,,,,
03E1656C-C965-4E9C-A9F0-9351D46864CE,,17122500A01733,CARRIER,,,,,,
03EA1B64-C0C7-4D96-9373-7B73BCF4EC33,,1149324,HEIL,,,,,,
03EF71AF-6D95-4A55-8F0B-7AA260BE474A,,6871A20990D,HEAT CONTROLLER,,,,,,
03F0A52A-C472-432A-8A7C-81898CE7FB52,,30GX402542,CARRIER,ECM MODULE,,,,,
03F500BA-16DB-4E3D-AC29-5AC57ACEC166,,30GT410924,CARRIER,,,,,,
03FC7114-C6F8-4BB1-A8B1-D55547D7F01A,,CPN00378,TRANE,,,,,,
03FFBB52-F0A4-467C-B53E-C496FF09F71D,,00EFN500165300A,CARRIER,,,,,,
03FFBE80-ABB4-463B-AAB4-C8C31DBE3482,,201332391528,GOODMAN,,,,,,
03OF49PX36TUG996JSV25QYQJ07SY2YN18OO,,6204540,NORDYNE,,,,,,
04038832-86CA-4C7C-9B11-923BE4DAE79C,,38AP404503,CARRIER,,,,,,
0404D139-0848-47DD-913C-4AA3F6E9DE90,,38AP404653,CARRIER,,,,,,
040C0465-3DF8-4B27-8F6D-B98772E7715F,,AE-106056-03,RHEEM,,,,,,
040D85E4-47A9-430B-831D-1F9794A37439,,62-102860-04,RHEEM,,,,,,
040E0C01-5068-48EA-A69F-E46781B62A6E,,DRV00014,TRANE,,,,,,
040EFFCB-B06F-4720-8A0E-1E08F4346854,,BRD00010,TRANE,,,,,,
0417A0B2-45DB-4B20-AB32-6BD36EEF2531,,00EFN500145671A,CARRIER,,,,,,
041981AF-01BB-451B-BF87-A78174E5B2AA,,32GB500034,CARRIER,,,,,,
041C1A00-7129-44CD-BD5D-725D0EF9BC18,,48NG480924,CARRIER,,,,,,
04200C3E-9B55-467B-B202-71DC57AD3183,,2P383866-1,DAIKIN,,,,,,
04214A0A-E360-409C-9CD9-1B628460C64C,,1173831,HEIL,,,,,,
04245554-3E07-4A95-A3A7-FACFE0F30A32,,4013117,DAIKIN,,,,,,
042DCA1F-ED1C-4898-857D-4B18A6C7E5C1,,52CQ480491,CARRIER,,,,,,
042E25DB-A980-48FD-88D0-F914AC78ED18,,CNT00128,TRANE,,,,,,
043281C6-17D5-4FE4-9C16-85E8CF445F9E,,00EFN500180300A,CARRIER,,,,,,
04333E3A-A084-45EB-AA64-13F1998D95EF,,50WQ400494,CARRIER,,,,,,
0438A378-90D4-47C8-B8A0-6CCDC81054EC,,30GU400420,CARRIER,,,,,,
043C074C-235E-4A6F-A7DE-27FC8D76C8F2,,85947258,SANYO,,,,,,
043EAE4A-D41C-4965-84D9-E58625C7DA21,,30GX401377,CARRIER,ECM MODULE,,,,,
0441A6CF-C614-4EE3-B051-1FD906DAAB1C,,E12D23450,MITSUBISHI,,,,,,
04490D2E-610C-4070-89AD-EE5215466BE8,,6230887022,SANYO,,,,,,
044E017A-A9A7-4227-90B6-70E988FC936E,,38AP403360,CARRIER,,,,,,
0455ACBC-3906-4B97-8597-AAF92763A2F8,,HR46ZW002,CARRIER,,,,,,
045663BB-05E1-4967-A674-025D00F04E67,,00EFN500146207A,CARRIER,,,,,,
045AAAAC-1D0C-4676-9481-441DEB89229F,,1395338,COMFORT,,,,,,
045EDAD2-0EC8-46CB-BBF0-2D993AC3F425,,38AP400511,CARRIER,,,,,,
04707F8A-946A-4518-BD35-16F2F28FAD5B,,GW79037007,CARRIER,,,,,,
0472BEA7-79FE-48A1-9FD9-253541B867D0,,BRD00323,TRANE,,,,,,
0475B1C1-455A-41F1-8692-C7AC39B6E3A4,,TUB03167,TRANE,,,,,,
047B7CF2-DC06-4B30-966C-962657F25485,,T2WEL8451,MITSUBISHI,,,,,,
047BF30D-86EA-4DA5-B7F4-B79CA0C0E51E,,8612-037,BARD,,,,,,
047E68FE-1E09-48AC-948E-83F95639FD01,,0600400894,CARRIER,,,,,,
047E99AD-A032-4802-8885-3A69300449BE,,38AP404500,CARRIER,,,,,,
0480BD50-187B-4509-ABCD-9EC925EA5BB0,,CNT00382,TRANE,,,,,,
0481F9B8-D0BC-44D3-BBBE-125684978F2A,,30132018,THERMAL ZONE,,,,,,
0483DF1E-1D8E-4FAB-B4FC-FDD73E7B229A,,CPN00404,TRANE,,,,,,
0487BA42-8566-4AC1-A34F-067639FBD7C3,,C8107-009-0032,BARD,,,,,,
04891797-F943-43D9-833C-8A450F457A84,,HK46EA122,CARRIER,,,,,,
04896506-3F2B-4FF1-A5ED-54DCE3140DDC,,U01A01426,MITSUBISHI,,,,,,
048F3343-F023-4686-B3AA-AD90C6539B7F,,9705647046,FUJITSU,,,,,,
0498D12A-A624-43C4-9BDF-D5380801FDAE,,2011-0012,HEAT CONTROLLER,,,,,,
04996B45-8F53-4BDE-BF79-394367C9417F,,CPN00130,TRANE,,,,,,
049F6E4D-07C8-4746-9B42-F5F201076C39,,30035523,THERMAL ZONE,,,,,,
04A57B04-B748-4146-829C-A44A04DE7B2B,,00EFN500164200A,CARRIER,,,,,,
04B282A1-2D9F-4C57-9ECB-1C82A4266BB4,,CNT00067,TRANE,,,,,,
